City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,laguna,38.421,-121.4238,295.98,74,0,3.6,US,1692948633
203,igoumenitsa,39.5039,20.2656,304.63,35,10,1.47,GR,1692948633
204,punta arenas,-53.15,-70.9167,272.63,69,25,5.11,CL,1692948525
205,mejit,10.2753,170.8646,301.52,73,12,5.46,MH,1692948235
206,palu,-0.8917,119.8707,302.16,84,42,1.51,ID,1692948448
207,kone,-21.0595,164.8658,293.23,69,45,3.47,NC,1692948571
208,padang,-0.9492,100.3543,300.18,85,46,2.24,ID,1692948282
209,karachi,24.9056,67.0822,302.05,65,75,7.2,PK,1692947950
210,mao,39.8885,4.2658,301.46,78,0,1.54,ES,1692948156
211,mossel bay,-34.1831,22.146,290.11,59,24,5.1,ZA,1692948341
212,concordia,-31.393,-58.0209,280.81,90,6,2.74,AR,1692948636
213,derzhavinsk,51.1,66.3167,293.82,36,100,3.05,KZ,1692948636
214,ringkobing,56.0901,8.244,291.14,85,75,6.69,DK,1692948636
215,polyarnyy,69.1989,33.4478,283.94,74,71,4.17,RU,1692948637
216,grand falls-windsor,48.9332,-55.6649,282.32,92,0,2.14,CA,1692948537
217,tazovsky,67.4667,78.7,287.05,50,32,7.52,RU,1692948635
218,baiao,-2.7906,-49.6717,295.43,97,33,1.18,BR,1692948638
219,vilhena,-12.7406,-60.1458,294.26,48,0,1.79,BR,1692948638
220,tokoroa,-38.2333,175.8667,279.23,80,81,0.26,NZ,1692948639
221,elliot,-31.3333,27.85,294.27,14,9,12.56,ZA,1692948640
222,manokwari,-0.8667,134.0833,300.18,82,78,1.36,ID,1692948630
223,bera,24.0833,89.6167,300.15,89,100,4.17,BD,1692948641
224,kirakira,-10.4544,161.9205,298.48,85,79,4.96,SB,1692948642
225,mount isa,-20.7333,139.5,302.02,17,0,6.17,AU,1692948565
226,crane,31.3974,-102.3501,299.22,48,0,4.58,US,1692948278
227,el matama,16.7095,33.3565,313.46,19,59,3.95,SD,1692948642
228,acarau,-2.8856,-40.12,297.6,89,38,5.29,BR,1692948643
229,okahao,-17.885,15.0667,298.11,14,0,4.16,NA,1692948643
230,strezhevoy,60.7333,77.5889,290.36,43,90,1.79,RU,1692948644
231,susuman,62.7833,148.1667,279.43,91,100,2.14,RU,1692948287
232,roma,43.2128,-75.4557,292.64,95,100,3.6,US,1692948644
233,peddapalli,18.6167,79.3667,304.07,62,100,5.41,IN,1692948645
234,san luis de la loma,17.2706,-100.8939,298.93,88,67,1.49,MX,1692948526
235,xapuri,-10.6517,-68.5044,296.53,57,0,1.48,BR,1692948646
236,lhokseumawe,5.1801,97.1507,302.32,71,16,3.32,ID,1692948646
237,chonchi,-42.6128,-73.8092,274.33,88,97,0.68,CL,1692948623
238,hasaki,35.7333,140.8333,306.09,78,6,5.24,JP,1692948423
239,badiyah,22.45,58.8,313.92,21,12,4.41,OM,1692948648
240,itoman,26.1247,127.6694,301.36,89,75,5.66,JP,1692948433
241,alvesta,56.8993,14.5556,286.3,97,40,2.06,SE,1692948648
242,baukau,51.5526,7.2042,294.93,79,96,2.24,DE,1692948649
243,siloam springs,36.1881,-94.5405,299.62,89,0,1.54,US,1692948649
244,borzya,50.3833,116.5167,296.21,26,100,2.93,RU,1692948649
245,castillos,-34.1667,-53.8333,277.5,76,4,1.88,UY,1692948650
246,mary,37.0,62.5,310.37,14,0,7.15,TM,1692948650
247,talca,-35.4333,-71.6667,277.33,93,0,1.04,CL,1692948651
248,anadyr,64.75,177.4833,281.43,71,0,5.0,RU,1692948497
249,jamestown,42.097,-79.2353,294.27,98,100,4.12,US,1692948548
250,vadso,70.0744,29.7487,285.24,82,20,1.54,NO,1692948493
251,neuhof,50.4531,9.6175,293.22,95,91,2.71,DE,1692948652
252,xique xique,-10.8217,-42.7311,297.87,58,6,5.81,BR,1692948653
253,flying fish cove,-10.4217,105.6791,298.97,83,100,6.17,CX,1692948349
254,beaufort west,-32.3567,22.583,285.5,35,0,11.48,ZA,1692948386
255,fujioka,36.25,139.0833,309.5,42,29,3.63,JP,1692948388
256,nemuro,43.3236,145.575,293.59,98,83,1.88,JP,1692948620
257,omaruru,-21.4333,15.9333,294.4,14,0,1.78,NA,1692948620
258,tralee,52.2704,-9.7026,287.25,92,100,3.93,IE,1692948655
259,kismayo,-0.3582,42.5454,301.28,65,45,7.02,SO,1692948655
260,mahdalynivka,48.921,34.9156,299.52,29,3,3.31,UA,1692948656
261,new norfolk,-42.7826,147.0587,282.87,73,91,2.67,AU,1692948580
262,pagouda,9.7525,1.3278,297.44,92,100,1.66,TG,1692948657
263,usogorsk,63.4106,48.6872,281.87,82,100,3.29,RU,1692948658
264,tabou,4.423,-7.3528,298.07,88,96,3.51,CI,1692948658
265,el quebrachal,-25.2833,-64.0667,284.67,51,72,2.45,AR,1692948658
266,kingston,17.997,-76.7936,301.68,91,20,1.03,JM,1692948575
267,fougamou,-1.2154,10.5838,300.89,65,43,1.07,GA,1692948659
268,badger,64.8,-147.5333,288.7,93,40,1.54,US,1692948564
269,enewetak,11.3474,162.3373,302.1,68,100,1.82,MH,1692948523
270,kodiak,57.79,-152.4072,286.88,88,100,5.66,US,1692948550
271,wattegama,6.7989,81.4808,311.58,27,12,4.33,LK,1692948660
272,taghazout,30.5426,-9.7112,297.58,70,26,1.91,MA,1692948660
273,guerrero negro,27.9769,-114.0611,293.5,83,5,6.08,MX,1692948338
274,puerto lempira,15.2667,-83.7667,298.71,90,100,1.75,HN,1692948661
275,colonia rincon viejo,16.9,-95.05,295.16,95,42,2.19,MX,1692948662
276,bria,6.5423,21.9863,299.88,76,81,1.62,CF,1692948662
277,muntok,-2.0667,105.1833,304.98,52,99,4.33,ID,1692948663
278,juneau,58.3019,-134.4197,286.15,91,75,1.54,US,1692948566
279,mogadishu,2.0371,45.3438,301.08,78,75,7.2,SO,1692948664
280,kovdor,67.5662,30.4758,282.64,86,100,0.45,RU,1692948665
281,mazar-e sharif,36.709,67.1109,310.68,11,5,6.76,AF,1692948665
282,chak two hundred forty-nine thal development authority,31.1796,71.2095,313.25,26,5,3.84,PK,1692948666
283,kyabe,9.4515,18.9449,301.47,72,37,1.02,TD,1692948666
284,shenjiamen,29.9576,122.298,301.4,76,100,4.57,CN,1692948199
285,dunedin,-45.8742,170.5036,281.93,80,100,1.34,NZ,1692948414
